           N  Sequential    1 thread   2 threads   4 threads   8 threads  16 threads      1 thread     2 threads     4 threads     8 threads    16 threads
     1048576     2.26136     2.01762     1.59185     1.65709     1.52233     1.11325             0   3.54027e-14   2.52052e-14   2.53976e-14   2.61672e-14
     2097152     1.44142     1.53665     2.67209     3.31201     2.75852     2.01856             0   1.29206e-14   6.80033e-15   1.04725e-14   8.84043e-15
     4194304     2.38313     2.28947     3.06601     3.61578     3.01315     2.69557             0   3.13487e-14   3.94262e-14   2.73099e-14   3.00024e-14
     8388608     2.45612     2.30067     3.03766     3.54065     3.23596     2.57806             0   6.48634e-14   5.98321e-14   6.21438e-14   7.95495e-14
    16777216     1.84365     2.25414     3.14854     3.46432      3.5588     3.47457             0   2.28867e-14   1.92325e-14   1.23088e-14   7.30835e-15
    33554432     2.20029     2.05855     3.07839     3.63734     3.73866      3.8022             0   3.39496e-13   3.29163e-13   3.22365e-13   3.27259e-13

           N  Sequential    1 thread   2 threads   4 threads   8 threads  16 threads      1 thread     2 threads     4 threads     8 threads    16 threads
     1048576     1.90722     2.20705     2.27664     2.24628     2.31841     2.17851             0   1.88503e-14    1.5965e-14   1.71191e-14   2.03891e-14
     2097152     2.33655     2.15002     2.34727     2.14551     2.15002     2.27424             0   7.75133e-15   2.21661e-14   1.79504e-14   1.50947e-14
     4194304     1.95266     2.38856     1.92753     1.97845     2.42165     2.36699             0   3.09629e-14   9.42348e-15   9.42348e-15   1.13466e-14
     8388608     2.01203     2.02323     2.41265     1.97201     1.94388     1.92671             0   4.35216e-15   6.80026e-16   5.71221e-15   5.71221e-15
    16777216     2.06036     2.33945      2.1009     2.30276     2.02135     2.31182             0   7.69133e-15   4.23023e-15   3.26882e-15   2.88425e-15
    33554432     2.33422     2.33422     2.10703     2.40534     2.41834     2.42708             0   1.61279e-13   1.41289e-13   1.23883e-13   1.28098e-13
