           N  Sequential    1 thread   2 threads   4 threads   8 threads  16 threads      1 thread     2 threads     4 threads     8 threads    16 threads
     1048576     2.39533     3.14899     3.08179     1.73087     0.76869    0.372724   3.54027e-14   2.52052e-14   2.53976e-14   2.61672e-14   2.53976e-14
     2097152     2.40237      2.9837     3.22842     2.35267     1.29218    0.802046   1.29206e-14   6.80033e-15   1.04725e-14   8.84043e-15   8.43241e-15
     4194304     2.24534     2.91271     3.47211       2.255     1.98594     1.32229   3.13487e-14   3.94262e-14   2.73099e-14   3.00024e-14   3.25026e-14
     8388608     2.42877     3.38671     4.00926     3.44012      2.7469     2.00095   6.48634e-14   5.99681e-14   6.21438e-14   7.95495e-14    7.6014e-14
    16777216     2.37254     3.37473     3.76412     3.72827     3.51618     3.06633   2.28867e-14   1.92325e-14   1.23088e-14   7.30835e-15    3.8465e-16
    33554432      2.2482     3.24982     3.92449     3.52278     3.90168     3.69746   3.39496e-13   3.29163e-13   3.22365e-13   3.27259e-13   3.31746e-13

           N  Sequential    1 thread   2 threads   4 threads   8 threads  16 threads      1 thread     2 threads     4 threads     8 threads    16 threads
     1048576     2.36728     2.33988     2.40101     2.29213     2.33447     2.18321   1.88503e-14    1.5965e-14   1.71191e-14   2.03891e-14   1.80809e-14
     2097152     2.38002     2.08434     2.40237     2.40237      2.4137      2.4137   7.75133e-15   2.21661e-14   1.79504e-14   1.50947e-14   1.53667e-14
     4194304     2.38313       2.325     2.31986     2.34057       2.325     2.36166   3.09629e-14   9.42348e-15   9.42348e-15   1.13466e-14    1.0962e-14
     8388608     2.38626     2.37586     2.37586     2.35026     2.36555     2.10119   4.35216e-15   6.80026e-16   5.71221e-15   5.71221e-15   4.89618e-15
    16777216     2.36299     2.30276      2.2804     2.34412     2.36299     2.34881   7.69133e-15   4.23023e-15   3.26882e-15   2.88425e-15   3.26882e-15
    33554432     2.18596     1.94518     2.27103     2.23324     2.20753     2.33422   1.61279e-13   1.41289e-13   1.23883e-13   1.28098e-13   1.25786e-13
